Unnamed: 0,stock,Unnamed: 2,Unnamed: 3,Unnamed: 4,salon,наименование,Кол-во,паспорт
Остаток,,,Кол-во,паспорт,Салон 40 лет Октября,,,
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (ж)(пл) ,29.0,28.0
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (м),56.0,56.0
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (м) хит4,4.0,4.0
,,,,,Салон Комаровского,3(4000-5990) (SENSE EYEWEAR) (у)(titan NB),10.0,10.0
,,,,,Салон Комаровского,4(6000-9990) (BULGET) (ж),9.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (BULGET) (м),9.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (ELFSPIRIT) (ж),5.0,7.0
,,,,,Салон Комаровского,4(6000-9990) (ELFSPIRIT) (м),9.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (ENNI MARCO) (ж),7.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (ENNI MARCO) (м),11.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (MEGAPOLIS) (м),4.0,5.0
,,,,,Салон Комаровского,4(6000-9990) (NEOLOOK) (м),9.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (OU) (ж),18.0,21.0
,,,,,Салон Комаровского,4(6000-9990) (OU) (м),7.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (SEEBLING титановые) (ж) ,15.0,14.0
,,,,,Салон Комаровского,4(6000-9990) (SEEBLING титановые) (м) ,9.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (SFEROFLEX) (ж),3.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (SFEROFLEX) (м),6.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (VY) (ж),8.0,9.0
,,,,,Салон Комаровского,4(6000-9990) (WILLIAM MORRIS) (ж),18.0,18.0
,,,,,Салон Комаровского,5(10000-24990) (ANA HICKMANN) (ж),9.0,8.0
,,,,,Салон Комаровского,5(10000-24990) (BOSS/HUGO BOSS) (м),8.0,8.0
,,,,,Салон Комаровского,5(10000-24990) (CERUTTI) (м),8.0,8.0
,,,,,Салон Комаровского,5(10000-24990) (EMILIA) (ж),8.0,8.0
,,,,,Салон Комаровского,5(10000-24990) (EMPORIO ARMANI) (м),8.0,8.0
,,,,,Салон Комаровского,5(10000-24990) (GUESS) (ж),18.0,18.0
,,,,,Салон Комаровского,5(10000-24990) (GUESS) (м),9.0,9.0
,,,,,Салон Комаровского,5(10000-24990) (MOREL/OGA/NOMAD/LIGHTEC) (м),8.0,8.0
,,,,,Салон Комаровского,5(10000-24990) (RAY BAN),7.0,8.0
,,,,,Салон Комаровского,5(10000-24990) (SLIMFOLD) (м),3.0,3.0
,,,,,Салон Комаровского,5(10000-24990) (STEPPER) (ж),19.0,18.0
,,,,,Салон Комаровского,5(10000-24990) (STEPPER) (м),11.0,9.0
,,,,,Салон Комаровского,5(10000-24990) (T-CHARGE) (м),12.0,9.0
,,,,,Салон Комаровского,5(10000-24990) (TRUSSARDI) (м),8.0,8.0
,,,,,Салон Комаровского,5(10000-24990) (VOGUE) (ж),8.0,8.0
,,,,,Салон Комаровского,5(10000-24990) (WILLIAM MORRIS BL) (ж),9.0,9.0
,,,,,Салон Комаровского,5(10000-24990) (WILLIAM MORRIS) (м),10.0,9.0
,,,,,Салон Комаровского,5(10000-24990) (XAVIER GARCIA) (ж),1.0,
,,,,,Салон Комаровского,VIP (CHARRIOL) (ж) #,1.0,
,,,,,Салон Комаровского,VIP (MONTBLANC)#,1.0,
,,,,,Салон Васенко,(1590-9990 ) (ОПРАВЫ + CLIP) (М),3.0,3.0
