article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
3088-491,CHR. LACROIX,женские,металл,ободковая,квадратные,коричневый/золотой,51.0,18.0,145.0,,,оптика,квадратные_металл_коричневый/золотой,L_M_L,квадратные_металл_коричневый/золотой_L_M_L
3091-01,BANISS,подростковые для мальчиков,металл,ободковая,прямоугольные,черный,49.0,17.0,133.0,,,оптика,прямоугольные_металл_черный,S_M_M,прямоугольные_металл_черный_S_M_M
3091-02,BANISS,подростковые для мальчиков,металл,ободковая,прямоугольные,синий,49.0,17.0,133.0,,,оптика,прямоугольные_металл_синий,S_M_M,прямоугольные_металл_синий_S_M_M
3091-041,CHR. LACROIX,женские,металл и пластик,ободковая,панто,черный/золотой,51.0,19.0,140.0,,,оптика,панто_металл и пластик_черный/золотой,M_M_L,панто_металл и пластик_черный/золотой_M_M_L
3091-129,CHR. LACROIX,женские,металл и пластик,ободковая,панто,золотой,51.0,19.0,140.0,,,оптика,панто_металл и пластик_золотой,M_M_L,панто_металл и пластик_золотой_M_M_L
3093-03,BANISS,подростковые для мальчиков,металл,ободковая,прямоугольные,синий,50.0,17.0,138.0,,,оптика,прямоугольные_металл_синий,M_M_M,прямоугольные_металл_синий_M_M_M
3093-632,CHR. LACROIX,женские,металл и пластик,ободковая,кошачий глаз,многоцветный,52.0,18.0,135.0,,,оптика,кошачий глаз_металл и пластик_многоцветный,M_L_L,кошачий глаз_металл и пластик_многоцветный_M_L_L
3094-02,BANISS,подростковые для девочек,металл,ободковая,квадратные,синий,48.0,18.0,134.0,,,оптика,квадратные_металл_синий,S_M_L,квадратные_металл_синий_S_M_L
3095-03,BANISS,подростковые для мальчиков,металл,ободковая,квадратные,серый,49.0,17.0,130.0,,,оптика,квадратные_металл_серый,S_M_M,квадратные_металл_серый_S_M_M
3096-02,BANISS,подростковые для мальчиков,металл,ободковая,квадратные,синий,48.0,17.0,130.0,,,оптика,квадратные_металл_синий,S_M_M,квадратные_металл_синий_S_M_M
3098-01,BANISS,подростковые для мальчиков,металл,ободковая,квадратные,черный,48.0,19.0,135.0,,,оптика,квадратные_металл_черный,M_M_L,квадратные_металл_черный_M_M_L
30MontaigneMiniO-B3I-5500,DIOR,женские,пластик,ободковая,бабочка,,52.0,17.0,135.0,,,оптика,,M_L_M,
30MontaigneMiniO-BI-1000,DIOR,женские,пластик,ободковая,бабочка,,54.0,16.0,135.0,,,оптика,,M_L_M,
