article,brand,gender_frame,material,frame_type,form,color,lens_width,bridge_width,temples_length,price,cost,категория,class_style,class_size,class_full
619-266,GENEX,женские,пластик,ободковая,бабочка,черный,54.0,20.0,150.0,,,солнцезащитные,бабочка_пластик_черный,L_L_L,бабочка_пластик_черный_L_L_L
6194/S/X-000JQ,POLAROID,женские,металл,ободковая,квадратные,золотой,56.0,17.0,145.0,,,солнцезащитные,квадратные_металл_золотой,L_L_M,квадратные_металл_золотой_L_L_M
6194/S/X-J5GWJ,POLAROID,женские,металл,ободковая,квадратные,золотой,56.0,17.0,145.0,,,солнцезащитные,квадратные_металл_золотой,L_L_M,квадратные_металл_золотой_L_L_M
6195/S/X-FLLM9,POLAROID,мужские,металл,ободковая,капли,голубой,58.0,15.0,145.0,,,солнцезащитные,капли_металл_голубой,L_L_S,капли_металл_голубой_L_L_S
620-0700,FURLA,женские,пластик,ободковая,бабочка,черный,56.0,19.0,140.0,,,солнцезащитные,бабочка_пластик_черный,M_L_L,бабочка_пластик_черный_M_L_L
6206/S-807M9,POLAROID,универсальные,пластик,ободковая,вайфайеры,черный,51.0,20.0,145.0,,,солнцезащитные,вайфайеры_пластик_черный,L_M_L,вайфайеры_пластик_черный_L_M_L
6207/S-807M9,POLAROID,универсальные,пластик,ободковая,панто,черный,52.0,21.0,145.0,,,солнцезащитные,панто_пластик_черный,L_L_L,панто_пластик_черный_L_L_L
621-009,GENEX,женские,металл,ободковая,бабочка,многоцветный,59.0,17.0,140.0,,,солнцезащитные,бабочка_металл_многоцветный,M_L_M,бабочка_металл_многоцветный_M_L_M
6214/S/X-EYRGC,POLAROID,женские,металл,ободковая,необычные,многоцветный,56.0,17.0,145.0,,,солнцезащитные,необычные_металл_многоцветный,L_L_M,необычные_металл_многоцветный_L_L_M
6214/S/X-S9EMF,POLAROID,женские,металл,ободковая,необычные,золотой,56.0,17.0,145.0,,,солнцезащитные,необычные_металл_золотой,L_L_M,необычные_металл_золотой_L_L_M
6215/S/X-LKSZ7,POLAROID,женские,металл,ободковая,панто,синий/золотой,56.0,17.0,145.0,,,солнцезащитные,панто_металл_синий/золотой,L_L_M,панто_металл_синий/золотой_L_L_M
621V-0C52,FURLA,женские,пластик,ободковая,бабочка,фиолетовый,53.0,19.0,140.0,,,солнцезащитные,бабочка_пластик_фиолетовый,M_L_L,бабочка_пластик_фиолетовый_M_L_L
