Салон,Наименование группы,Кол-во (группа),Паспорт,Полный класс (доминирующий),Остаток по классу,Прогноз по классу (квартал),"Прогноз по классу (месяц1, месяц2, месяц3)",XYZ-категория,Рекомендация
Васенко,5(10000-24990) (EMILIA) (ж),8,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (EMPORIO ARMANI) (м),8,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (GUESS) (ж),18,18,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (GUESS) (м),9,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (MOREL/OGA/NOMAD/LIGHTEC) (м),8,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (RAY BAN),7,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (SLIMFOLD) (м),3,3,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (STEPPER) (ж),19,18,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (STEPPER) (м),11,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (T-CHARGE) (м),12,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (TRUSSARDI) (м),8,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (VOGUE) (ж),8,8,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (WILLIAM MORRIS BL) (ж),9,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (WILLIAM MORRIS) (м),10,9,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,5(10000-24990) (XAVIER GARCIA) (ж),1,0,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,VIP (CHARRIOL) (ж) #,1,0,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,VIP (MONTBLANC)#,1,0,квадратные_пластик_черный_L_L_L,57,3,"3, 0, 0",X,Убрать / Перераспределить
Васенко,(детские) (пластик) (36-41),2,3,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (пластик) (42-45),11,10,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (пластик) (46-49),12,8,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (пластик) (36-41),3,3,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (пластик) (42-45),20,10,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (пластик) (46-49),13,5,квадратные_пластик_черный_S_M_M,13,0,"0, 0, 0",X,Нет прогноза
Васенко,(детские) (металл),2,2,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (OU/SCOUT),10,8,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,6,6,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (VERSO),6,6,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские)(FISHER PRICE) девочки 42-46,6,6,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские)(FISHER PRICE) девочки 47-54,2,2,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские)(FISHER PRICE) мальчики 38-41,2,2,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские)(FISHER PRICE) мальчики 42-46,7,5,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские)(FISHER PRICE) мальчики 47-54,4,5,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские)(NANOKIDS/LIFE),5,5,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (BARBIE),6,10,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (GUESS),5,0,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (HOT WHEELS),4,4,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (KIDSIGHT),5,10,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (OU/SCOUT),14,14,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (SENSE EYEWEAR) НОЛЬ-ТАРИФ,6,7,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (VERSO),10,10,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(детские/подростковые) (VOGUE),1,0,половинки_металл_коричневый_S_M_L,0,0,"0, 0, 0",X,Нет данных
Васенко,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2,2,прямоугольные_металл_золотой_L_L_L,13,4,"0, 4, 0",X,Убрать / Перераспределить
Васенко,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (ж),2,2,прямоугольные_металл_золотой_L_L_L,13,4,"0, 4, 0",X,Убрать / Перераспределить
Васенко,(4000-9990) ( БЕЗОБОДКОВЫЕ ) (м),2,2,прямоугольные_металл_золотой_L_L_L,13,4,"0, 4, 0",X,Убрать / Перераспределить
Васенко,(1590-9990 ) (ОПРАВЫ + CLIP) (М),3,3,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,(подростковые) (металл для девочек),7,8,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,(подростковые) (металл для мальчиков/универс),12,15,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,1(0-1490) (МЕТАЛЛ) (М),12,12,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,2(1590-3990) (DACKOR) (металл) (м),17,17,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,3(4000-5990) (GLORY) (металл) (ж),17,17,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,3(4000-5990) (GLORY) (металл) (м),17,17,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,3(4000-5990) (OPTILOOK) (металл) (ж),1,0,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,"Комсомольский, 33 ОиМ",993,998,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,(1590-9990 ) (ОПРАВЫ + CLIP) (М),4,5,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,(подростковые) (металл для девочек),10,12,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,(подростковые) (металл для мальчиков/универс),11,20,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,1(0-1490) (МЕТАЛЛ) (М),7,7,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,2(1590-3990) (DACKOR) (металл) (м),21,21,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,3(4000-5990) (GLORY) (металл) (ж),14,14,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,3(4000-5990) (GLORY) (металл) (м),7,7,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
Васенко,3(4000-5990) (OPTILOOK) (металл) (ж),6,7,прямоугольные_металл_черный_M_L_M,47,17,"6, 0, 11",X,Убрать / Перераспределить
