class,total_sales,pos_pct,category,style_class,size_class,style_category,size_category
панто_пластик_фиолетовый_L_L_L,3,0.27240566037735847,X,панто_пластик_фиолетовый,L_L_L,x,X
панто_пластик_прозрачный_L_L_L,3,0.27358490566037735,X,панто_пластик_прозрачный,L_L_L,X,X
кошачий глаз_металл_серебристый_L_L_L,3,0.27476415094339623,X,кошачий глаз_металл_серебристый,L_L_L,X,X
капли_металл_черный/серебристый_L_L_M,3,0.2759433962264151,X,капли_металл_черный/серебристый,L_L_M,X,X
квадратные_металл и пластик_коричневый/золотой_L_L_S,3,0.27712264150943394,X,квадратные_металл и пластик_коричневый/золотой,L_L_S,X,X
бабочка_пластик_темно-серый_L_L_M,3,0.2783018867924528,X,бабочка_пластик_темно-серый,L_L_M,X,X
необычные_металл_бронзовый_L_L_L,3,0.2794811320754717,X,необычные_металл_бронзовый,L_L_L,X,X
клабмастеры_металл и пластик_черный/золотой_L_L_L,3,0.2806603773584906,X,клабмастеры_металл и пластик_черный/золотой,L_L_L,X,X
трапеция_пластик_черный_M_L_M,3,0.2818396226415094,X,трапеция_пластик_черный,M_L_M,X,X
бабочка_металл и пластик_черный_M_L_M,3,0.2830188679245283,X,бабочка_металл и пластик_черный,M_L_M,x,X
бабочка_пластик_темно-серый_L_L_L,3,0.2841981132075472,X,бабочка_пластик_темно-серый,L_L_L,X,X
бабочка_пластик_серый_M_L_M,3,0.28537735849056606,X,бабочка_пластик_серый,M_L_M,X,X
квадратные_пластик_бордовый_L_L_L,3,0.2865566037735849,X,квадратные_пластик_бордовый,L_L_L,X,X
панто_металл_золотой_M_L_M,3,0.28773584905660377,X,панто_металл_золотой,M_L_M,X,X
квадратные_титан_черный_M_L_L,3,0.28891509433962265,X,квадратные_титан_черный,M_L_L,X,X
квадратные_пластик_бордовый_M_L_L,3,0.29009433962264153,X,квадратные_пластик_бордовый,M_L_L,X,X
капли_металл_золотой_S_L_S,3,0.29127358490566035,X,капли_металл_золотой,S_L_S,X,x
капли_металл_золотой_M_L_S,3,0.29245283018867924,X,капли_металл_золотой,M_L_S,X,X
квадратные_металл_серебристый_L_L_M,3,0.2936320754716981,X,квадратные_металл_серебристый,L_L_M,X,X
овальные_пластик_серый_M_L_L,3,0.294811320754717,X,овальные_пластик_серый,M_L_L,x,X
квадратные_пластик_синий_M_L_L,3,0.2959905660377358,X,квадратные_пластик_синий,M_L_L,X,X
прямоугольные_пластик_зеленый_L_L_L,3,0.2971698113207547,X,прямоугольные_пластик_зеленый,L_L_L,X,X
бабочка_пластик_черепаховый_M_L_L,3,0.2983490566037736,X,бабочка_пластик_черепаховый,M_L_L,X,X
